,sentence,DA_tag
9496,Yes,accept
9497,Uh huh,accept
9498,Uh huh,accept
9499,Yeah,accept
9500,What are you going into,wh-question
9501,I know,reject
9502,Noise Yeah,accept
9503,Uh huh,accept
9504,Yeah,accept
9505,Right,accept
9506,Uh huh laughter,accept
9507,yeah,accept
9508,I don t know,accept
9509,that s true,farewell
9510,Yeah,accept
9511,Right,accept
9512,Yeah,accept
9513,Right laughter,accept
9514,Yeah,accept
9515,Oh okay,accept
9516,Yeah,accept
9517,Good enough,farewell
9518,What trophy is awarded to the winners of the Super Bowl ?,wh-question
9519,Uh huh,accept
9520,Who was the conservationist who served as spokesperson for Post Grape Nuts ?,wh-question
9521,bye,farewell
9522,Bye bye,farewell
9523,Yeah,accept
9524,Uh huh,accept
9525,Uh huh,accept
9526,Uh huh,accept
9527,Uh huh,accept
9528,Yeah,accept
9529,Huh uh,accept
9530,Uh huh,accept
9531,When did Hitler come to power in Germany ?,wh-question
9532,Really,accept
9533,Who was the girl in Peter Sellers 's soup ?,wh-question
9534,Yeah,accept
9535,Yeah,accept
9536,So thank you for calling,farewell
9537,Uh huh,accept
9538,Right,accept
9539,Yeah,accept
9540,Uh throat_clearing not a who noise well not a whole lot,reject
9541,Yeah,accept
9542,Yes,accept
9543,Uh huh,accept
9544,Wear your coat.,imperative
9545,Yeah,accept
9546,Okay,farewell
9547,Right,accept
9548,Uh huh,accept
9549,Oh,accept
9550,Yeah,accept
9551,talking to you,farewell
9552,Yeah,accept
9553,Yeah,accept
9554,Right,accept
9555,No,reject
9556,Oh yeah,accept
9557,Yeah,accept
9558,Yeah,accept
9559,Remember the Sabbath day by keeping it holy.,imperative
9560,What have you done noise,wh-question
9561,Uh huh,accept
9562,Uh huh,accept
9563,Yes,accept
9564,What causes pneumonia ?,wh-question
9565,yeah,accept
9566,Uh huh,accept
9567,Uh huh laughter,accept
9568,Well good luck to you,farewell
9569,Right,accept
9570,Uh huh,accept
9571,Yeah,accept
9572,Yeah,accept
9573,Uh huh,accept
9574,Yeah,accept
9575,Uh huh,accept
9576,Uh huh,accept
9577,A corgi is a kind of what ?,wh-question
9578,Yeah,accept
9579,Throat_clearing Uh huh,accept
9580,yeah,accept
9581,Right,accept
9582,Yeah,accept
9583,Uh huh,accept
9584,Yeah,accept
9585,Yeah,accept
9586,Uh huh,accept
9587,Uh huh,accept
9588,Laughter Oh yes,accept
9589,yeah,accept
9590,Um,accept
9591,uh huh,accept
9592,Uh huh,accept
9593,Yeah,accept
9594,yeah,accept
9595,Yeah,accept
9596,Right,accept
9597,Yeah,accept
9598,Yeah,accept
9599,How much of the silver production is manufactured by independent silversmiths ?,wh-question
9600,Yeah,accept
9601,Uh huh,accept
9602,Right,accept
9603,Yeah,accept
9604,What does BMW stand for ?,wh-question
9605,Launch Google,imperative
9606,Yes,accept
9607,Uh huh,accept
9608,Right,accept
9609,Yeah,accept
9610,Yes,accept
9611,Yeah,accept
9612,Uh huh laughter,accept
9613,right,accept
9614,Uh huh,accept
9615,Uh huh,accept
9616,Who was the prophet of the Jewish people ?,wh-question
9617,but but yes,accept
9618,Uh huh,accept
9619,Yeah,accept
9620,Where do people mountain climb in Nepal ?,wh-question
9621,Uh huh,accept
9622,Uh huh,accept
9623,Yeah,accept
9624,Yeah,accept
9625,Uh huh,accept
9626,Yeah,accept
9627,Yeah laughter,accept
9628,Yeah,accept
9629,Yeah,farewell
9630,Right,accept
9631,Uh huh laughter,accept
9632,Right,accept
9633,Uh huh,accept
9634,Whose cupboard was bare ?,wh-question
9635,yeah,accept
9636,Oh,accept
9637,Yeah,accept
9638,Right,accept
9639,Oh yeah,accept
9640,Yeah clicking,accept
9641,Yeah,accept
9642,Uh huh,accept
9643,Uh huh laughter,accept
9644,Name the three races unleashed by the Celestials in Marvel comics .,wh-question
9645,Yeah,accept
9646,Oh yeah,accept
9647,"What card game has variations called Canfield , Klondike and Spider ?",wh-question
9648,What is that sound,wh-question
9649,we can say good bye now,farewell
9650,How many URL extensions are there ? and what are they ?,wh-question
9651,Really,accept
9652,What fraction of a beaver 's life is spent swimming ?,wh-question
9653,What is the brightest star visible from Earth ?,wh-question
9654,Yeah,accept
9655,Right,accept
9656,Where is the Mayo Clinic ?,wh-question
9657,Uh huh,accept
9658,You needn't give me a lift,imperative
9659,Yeah,accept
9660,Right,accept
9661,Uh huh,accept
9662,uh huh,accept
9663,How did the jack-o '-lantern get it 's name ?,wh-question
9664,Uh huh,accept
9665,Yes,accept
9666,uh huh,accept
9667,Right,accept
9668,What are boxcars ?,wh-question
9669,Right,accept
9670,What is the chemical reactivity of argon ?,wh-question
9671,Uh huh,accept
9672,Right,accept
9673,Oh yeah,accept
9674,Who is the competition going to be,wh-question
9675,Sounds fun,farewell
9676,Oh uh huh,accept
9677,Yeah,accept
9678,Uh huh,accept
9679,Uh huh,accept
9680,Oh really,accept
9681,Uh huh,accept
9682,Right,accept
9683,Uh huh,accept
9684,Yeah,accept
9685,Uh huh,accept
9686,Yeah,accept
9687,Uh huh,accept
9688,You too,farewell
9689,Yeah,accept
9690,well have a good time cooking for your dinner party next week,farewell
9691,Right,accept
9692,Uh huh,accept
9693,Right,accept
9694,Yeah,accept
9695,Right,accept
9696,How did Lee Harvey Oswald purchase his rifle ?,wh-question
9697,Right,accept
9698,Yeah,accept
9699,Uh huh,accept
9700,Yeah,accept
9701,Yes,accept
9702,Uh huh,accept
9703,Um,accept
9704,Yeah,accept
9705,How is digital audio used ?,wh-question
9706,Uh huh,accept
9707,Yes,accept
9708,Yeah,accept
9709,When was the last time you went,wh-question
9710,Uh huh,accept
9711,Yeah,accept
9712,Very faint Yeah,accept
9713,Uh huh,accept
9714,Yeah,accept
9715,Uh huh,accept
9716,Yeah,accept
9717,Uh huh,accept
9718,Uh huh,accept
9719,Huh,accept
9720,Where is the Rose Bowl played ?,wh-question
9721,Uh huh,accept
9722,what does he think of your uh T shirts and,wh-question
9723,Yeah,accept
9724,Uh huh,accept
9725,Yes,accept
9726,Yeah,accept
9727,Uh huh,accept
9728,Yes,accept
9729,Um,accept
9730,Uh huh,accept
9731,Who directed The Wild Bunch ?,wh-question
9732,Well what do you think can be done about the crime in the city,wh-question
9733,Yeah,accept
9734,right,accept
9735,Uh huh,accept
9736,Uh huh,accept
9737,Laughter Oh,accept
9738,Right,accept
9739,Uh huh,accept
9740,Oh yeah,accept
9741,Uh huh,accept
9742,What color are they,wh-question
9743,Oh,accept
9744,Uh huh,accept
9745,Uh huh,accept
9746,Yeah,accept
9747,Yes,accept
9748,Yeah,accept
9749,Uh huh,accept
9750,Um,accept
9751,Yeah,accept
9752,Uh huh,accept
9753,Yeah,accept
9754,Uh huh,accept
9755,Yeah,accept
9756,Yeah,accept
9757,Yeah,accept
9758,Right,accept
9759,Yeah,accept
9760,Uh huh,accept
9761,Yeah,accept
9762,Uh huh,accept
9763,yeah,accept
9764,Yeah,accept
9765,Yeah,accept
9766,and good luck with the baby,farewell
9767,Yeah,accept
9768,Uh huh,accept
9769,Yeah,accept
9770,What is Megan 's law ?,wh-question
9771,Yeah,accept
9772,Oh,accept
9773,Yeah,accept
9774,Have a good time,farewell
9775,What international amateur sports spectacle was first telecast in 1956 ?,wh-question
9776,laughter Yes,accept
9777,Hi uh,greeting
9778,Uh huh,accept
9779,Bye bye,farewell
9780,Uh huh,accept
9781,Okay,accept
9782,Uh huh,accept
9783,Turn on the radio!,imperative
9784,How many types of cheese are there in France ?,wh-question
9785,and how many do you have,wh-question
9786,What s going on,wh-question
9787,Yeah,accept
9788,Yeah,accept
9789,Oh really,accept
9790,Oh,accept
9791,Uh huh,accept
9792,Uh huh,accept
9793,Uh huh,accept
9794,What did Lenny Bruce say that got him arrested ?,wh-question
9795,Yeah,accept
9796,Uh huh,accept
9797,Huh uh,accept
9798,Huh uh,accept
9799,What is the salary of a U.S. Representative ?,wh-question
9800,but why can t they check to see if the person who is applying for this gun has had a record or not,wh-question
9801,Not not really,reject
9802,Yeah,accept
9803,Yeah,accept
9804,I th I think so,farewell
9805,Yeah,accept
9806,Right,accept
9807,Uh huh,accept
9808,uh huh,accept
9809,What capital is built around Monument Circle which contains soldiers and sailors monument ?,wh-question
9810,Uh huh,accept
9811,Yeah,accept
9812,I see,accept
9813,Yeah,accept
9814,What is Larry King 's job ?,wh-question
9815,Now how long in advance do they uh let them know,wh-question
9816,How do I increase my biceps ' size ?,wh-question
9817,"What is it that walks on four legs , then on two legs , then on three ?",wh-question
9818,Yeah,accept
9819,Yeah,accept
9820,Right,accept
9821,Uh huh,accept
9822,What is the correct way to mount a roll of toilet paper ?,wh-question
9823,No,reject
9824,Oh yeah,accept
9825,You too,farewell
9826,Yeah,accept
9827,Uh huh,accept
9828,Yeah,accept
9829,Right,accept
9830,Uh huh,accept
9831,Uh huh,accept
9832,Really,accept
9833,Right,accept
9834,What kind of grant was it,wh-question
9835,Yeah,accept
9836,right,accept
9837,What do river otters eat ?,wh-question
9838,I gathered you might be a teacher,farewell
9839,Uh huh,accept
9840,Yeah,accept
9841,Oh yeah,accept
9842,Yeah,accept
9843,Uh huh,accept
9844,Yeah,accept
9845,Uh huh,accept
9846,Yeah,accept
9847,Uh huh,accept
9848,Take care,farewell
9849,Right,accept
9850,Uh huh,accept
9851,Who was the oldest U.S. president ?,wh-question
9852,Yeah,accept
9853,Well I I was wondering what if you all were to get a pet like if you were to move into an apartment,wh-question
9854,And and you ll be happy I think in October when the Dodgers win,farewell
9855,Right,accept
9856,What are the cookies in Internet ?,wh-question
9857,Uh huh,accept
9858,Yeah,accept
9859,Yeah,accept
9860,Oh right,accept
9861,Yep,accept
9862,Yeah noise,accept
9863,Yeah,accept
9864,really,accept
9865,Uh huh,accept
9866,How many athletes did Puerto Rico enter in the 1984 Winter Olympics ?,wh-question
9867,Right,accept
9868,Oh uh huh,accept
9869,Yeah,accept
9870,Yeah,accept
9871,Uh huh,accept
9872,Uh huh,accept
9873,Well see what do you do,wh-question
9874,Yeah,accept
9875,Uh huh,accept
9876,Uh what are you studying,wh-question
9877,uh huh,accept
9878,Huh uh,accept
9879,Well I guess that covers our topic,farewell
9880,What Russian novel embracing more the 5 characters is set in the Napoleonic Wars ?,wh-question
9881,Yeah,accept
9882,Yeah,accept
9883,Yeah,accept
9884,Yeah,accept
9885,Uh huh,accept
9886,Who is the director and editor of the movie Big starring Tom Hanks ?,wh-question
9887,Well wha what s,wh-question
9888,Uh huh,accept
9889,Uh huh,accept
9890,right,accept
9891,Yeah,accept
9892,Laughter Yeah,accept
9893,Uh huh,accept
9894,Right,accept
9895,Yes,accept
9896,Huh,accept
9897,right,accept
9898,What three European countries begin with the letter A ?,wh-question
9899,What are all the rivers in Europe ?,wh-question
9900,Yeah,accept
9901,you just uh we just say say good bye,farewell
9902,Yeah,accept
9903,No,farewell
9904,Yeah,accept
9905,Yeah,accept
9906,Okay,farewell
9907,Uh huh,accept
9908,Uh huh,accept
9909,What is software piracy ?,wh-question
9910,No,reject
9911,Oh uh huh,accept
9912,Yeah,accept
9913,Right,accept
9914,Uh no,reject
9915,Uh huh,accept
9916,Yeah,accept
9917,Uh huh,accept
9918,Yeah,accept
9919,What country in Latin America is the largest one ?,wh-question
9920,Uh huh,accept
9921,Right,accept
9922,Right,accept
9923,Uh huh,accept
9924,Yeah,accept
9925,Uh huh,accept
9926,Not this past fall,reject
9927,Uh huh,accept
9928,Oh well,accept
9929,Oh yeah,accept
9930,Yeah,accept
9931,Right,accept
9932,Uh huh,accept
9933,Uh huh,accept
9934,Uh huh,accept
9935,Right,accept
9936,Uh huh,accept
9937,Uh huh,accept
9938,Uh huh,accept
9939,If you had uh no financial requirements if you could buy any car in the entire world no matter what it cost what would you buy,wh-question
9940,Oh,accept
9941,Do not make the naughty list,imperative
9942,Right,accept
9943,How deep is a fathom ?,wh-question
9944,Uh huh,accept
9945,Right,accept
9946,Uh huh,accept
9947,yeah,accept
9948,Yeah,accept
9949,Right,accept
9950,Right,accept
9951,Uh huh,accept
9952,Yeah,accept
9953,Yeah,accept
9954,How you can raise your IQ ?,wh-question
9955,Uh huh,accept
9956,Uh huh,accept
9957,right,accept
9958,Oh,accept
9959,Yeah,accept
9960,Uh huh,accept
9961,Uh huh,accept
9962,Right,accept
9963,Yes,accept
9964,Breathing Yeah noise,accept
9965,Yes,accept
9966,Yeah,accept
9967,Yeah,accept
9968,Yeah,accept
9969,yeah,accept
9970,Oh yeah,accept
9971,Uh huh,accept
9972,Uh huh,accept
9973,Um uh not not yet anyways because I don t think they re widespread enough,reject
9974,Oh,accept
9975,Uh huh,accept
9976,Sure,accept
9977,Right,accept
9978,What is the largest variety of cactus ?,wh-question
9979,Yeah,accept
9980,Uh huh,accept
9981,Uh huh,accept
9982,Not quite laughter,reject
9983,Uh huh,accept
9984,Uh huh,accept
9985,Uh huh,accept
9986,Uh huh,accept
9987,Yeah,accept
9988,what did you buy,wh-question
9989,Uh huh,accept
9990,Yeah,accept
9991,Yeah,accept
9992,Throat_clearing Right,accept
9993,Move around town.,imperative
9994,Oh yeah,accept
9995,Come back with their head.,imperative
9996,What is the largest city in Germany ?,wh-question
9997,Yeah,accept
9998,Yeah,accept
9999,What was the name of the famous battle between Texas and Mexico ?,wh-question
10000,Yeah,accept
10001,That s right,accept
10002,Right,accept
10003,Uh huh,accept
10004,Uh huh,accept
10005,Yeah,accept
10006,Yeah,accept
10007,Uh huh,accept
10008,Yeah,accept
10009,Right,accept
10010,Yeah,accept
10011,Right,accept
10012,Yeah,accept
10013,Yeah,accept
10014,yeah,accept
10015,Uh huh,accept
10016,Uh huh,accept
10017,Yeah,accept
10018,Yeah,accept
10019,Who was the king who was forced to agree to the Magna Carta ?,wh-question
10020,Oh I,accept
10021,Yeah,accept
10022,Which produces the longer sperm - an elephant or a mouse ?,wh-question
10023,Right,accept
10024,Name a flying mammal .,wh-question
10025,Really,accept
10026,Yeah,accept
10027,Yeah,accept
10028,What volcano showers ash on Sicily ?,wh-question
10029,Uh huh,accept
10030,Well it wasn t really,reject
10031,it sounds good,farewell
10032,Yeah,accept
10033,Oh okay,accept
10034,Uh huh,accept
10035,Okay,accept
10036,no,reject
10037,Yeah,accept
10038,Uh huh,accept
10039,Yeah,accept
10040,Bye,farewell
10041,Uh huh,accept
10042,Uh huh,accept
10043,Yeah,accept
10044,Um,accept
10045,Oh he is,accept
10046,Laughter slash error,accept
10047,Uh huh,accept
10048,Uh huh,accept
10049,uh huh,accept
10050,Uh huh,accept
10051,Yeah,accept
10052,Uh huh,accept
10053,Okay,accept
10054,Yeah,accept
10055,Oh,accept
10056,Yeah,accept
10057,Yeah,accept
10058,Right,accept
10059,Uh huh,accept
10060,What is a fear of black people ?,wh-question
10061,Oh yeah,accept
10062,Hi,greeting
10063,Why is Chicago named Chicago ?,wh-question
10064,Uh huh,accept
10065,Yeah,accept
10066,What is barnstorming ?,wh-question
10067,How much of the nation 's children between the ages of two and eleven watch ` The Simpsons ' ?,wh-question
10068,Yeah,accept
10069,Oh,accept
10070,Yeah,accept
10071,Uh huh,accept
10072,Uh huh,accept
10073,Uh huh,accept
10074,Uh huh,accept
10075,Yeah,accept
10076,uh huh,accept
10077,Yeah,accept
10078,What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?,wh-question
10079,Yeah,accept
10080,Uh oh laughter,accept
10081,Right,accept
10082,Yeah,accept
10083,Uh huh,accept
10084,Believe me!,imperative
10085,Right,accept
10086,Okay,accept
10087,Yeah faint,accept
10088,Uh huh,accept
10089,Right,accept
10090,Yeah,accept
10091,Right,accept
10092,Uh huh,accept
10093,My pleasure,farewell
10094,Sure,accept
10095,Yeah,accept
10096,Yeah,accept
10097,Yeah,accept
10098,Who was the lawyer who represented Randy Steven Craft ?,wh-question
10099,Uh huh,accept
10100,"What poem contains the line , `` grow old with me the best is yet to be '' .",wh-question
10101,I think that s why they call me because they want to get people outside the state you know,farewell
10102,Yeah,accept
10103,Shoot straight.,imperative
10104,Right,accept
10105,Uh huh,accept
10106,Oh,accept
10107,Right,accept
10108,Okay,farewell
10109,uh I see,accept
10110,Yeah,accept
10111,Yes,accept
10112,Uh huh,accept
10113,Yes,accept
10114,Oh yeah,accept
10115,Uh huh,accept
10116,Oh,accept
10117,uh huh,accept
10118,Yeah,accept
10119,Yeah uh,accept
10120,Right,accept
10121,Yeah,accept
10122,Okay,farewell
10123,What TV station did Mary Richards work for ?,wh-question
10124,Uh huh,accept
10125,Breathing Uh I don t right off,farewell
10126,Yeah,accept
10127,Oh yeah,accept
10128,Uh huh,accept
10129,Save Ferris,imperative
10130,shut up,imperative
10131,Uh huh,accept
10132,Uh huh,accept
10133,Uh huh,accept
10134,Uh huh,accept
10135,Uh huh,accept
10136,Uh yes,accept
10137,Right,accept
10138,Huh,accept
10139,Uh huh,accept
10140,Yeah,accept
10141,Uh huh,accept
10142,Yeah,accept
10143,Who claims to have the greatest show on earth ?,wh-question
10144,Yeah,accept
10145,Laughter I don t have a Master Charge,reject
10146,"What California bridge was Don Brown the first to cross , on May 27 , 1937 ?",wh-question
10147,Yes,accept
10148,Uh huh,accept
10149,Yeah,accept
10150,Uh huh,accept
10151,How old are your kids,wh-question
10152,Yeah,accept
10153,Uh huh,accept
10154,Yeah,accept
10155,Uh huh,accept
10156,Yeah,farewell
10157,How many times a year does the American Gourd Society publish The Gourd ?,wh-question
10158,Uh huh,accept
10159,So where do you live at,wh-question
10160,Uh huh,accept
10161,Uh huh,accept
10162,What was `` America 's recessed-filter cigarette '' ?,wh-question
10163,Yeah,accept
10164,Who is buried in the great pyramid of Giza ?,wh-question
10165,Yeah,accept
10166,No,accept
10167,Yes,accept
10168,Uh huh,accept
10169,Which member of the Micronauts spent 1 years traveling the Microverse in the Marvel comics ?,wh-question
10170,Uh huh,accept
10171,sure,accept
10172,Yeah,accept
10173,Oh really laughter,accept
10174,Oh,accept
10175,Uh huh,accept
10176,Uh huh,accept
10177,Uh huh,accept
10178,I don t,farewell
10179,it was nice,farewell
10180,Yeah,accept
10181,Uh huh,accept
10182,Right,accept
10183,Uh huh,accept
10184,but,farewell
10185,Where are the Austerlitz and Victor Hugo subway stops ?,wh-question
10186,Yeah,accept
10187,Uh huh,accept
10188,Uh huh,farewell
10189,What is the average time to kiss somene ?,wh-question
10190,Yeah,accept
10191,I really don t watch that much T V,reject
10192,Right,accept
10193,Uh huh,accept
10194,Uh huh,accept
10195,Yeah,accept
10196,Uh huh,accept
10197,Oh,accept
10198,Yeah,accept
10199,Uh huh,accept
10200,Uh huh,accept
10201,Uh huh,accept
10202,How does she get to work,wh-question
10203,"What is the latitude and longitude of El Paso , Texas ?",wh-question
10204,Uh huh,accept
10205,Yes,accept
10206,Yeah,accept
10207,Yeah,accept
10208,Right,accept
10209,Uh huh,accept
10210,yeah,accept
10211,What does the Latin ante mortem mean ?,wh-question
10212,Don't wait for my answer,imperative
10213,Who was the lawyer for Randy Steven Craft ?,wh-question
10214,Okay,accept
10215,Uh huh,accept
10216,Yeah,accept
10217,Yeah,accept
10218,bye bye,farewell
10219,Yes,accept
10220,Bye,farewell
10221,Uh huh,accept
10222,Yeah,accept
10223,Yeah,accept
10224,How many hummingbird eggs could fit in one ostrich egg ?,wh-question
10225,What is the economic impact of unemployment on the economy ?,wh-question
10226,Uh huh,accept
10227,Uh huh,accept
10228,Why do pharmacists work on raised floors ?,wh-question
10229,yeah,accept
10230,Yeah laughter,accept
10231,Yeah,accept
10232,Yeah,accept
10233,How does one correctly pronounce ` qigong ' ?,wh-question
10234,Uh huh,accept
10235,Yes ma am,accept
10236,Raid the Berber people.,imperative
10237,Yeah,accept
10238,Uh huh,accept
10239,Right,accept
10240,what is that,wh-question
10241,Yes,accept
10242,No,farewell
10243,Uh huh,accept
10244,Right,accept
10245,Uh huh,farewell
10246,Oh sure,accept
10247,Which country is known as `` Big Bear '' ?,wh-question
10248,Uh huh,accept
10249,Yeah,accept
10250,Uh huh,accept
10251,right,accept
10252,Yeah,accept
10253,Yeah,accept
10254,Yeah,accept
10255,Uh huh faint,accept
10256,Yes,accept
10257,Uh huh,accept
10258,Uh huh,accept
10259,Oh,accept
10260,What are the largest libraries in the US ?,wh-question
10261,Yeah,accept
10262,Huh uh,accept
10263,yeah,accept
10264,Oh really,accept
10265,Yeah,accept
10266,Yeah,accept
10267,Yeah,accept
10268,Yeah,accept
10269,Yeah,accept
10270,Oh really,accept
10271,Yeah,accept
10272,well thank you very much,farewell
10273,Yeah,accept
10274,What is the name given to a group of geese ?,wh-question
10275,What kind of business are you in,wh-question
10276,Yeah,accept
10277,Uh huh,accept
10278,yeah,accept
10279,Uh huh,accept
10280,Yeah,accept
10281,Uh huh,accept
10282,How long do hermit crabs live ?,wh-question
10283,Oh yeah,accept
10284,Uh huh,accept
10285,Really,accept
10286,Yeah,accept
10287,yes,accept
10288,No,reject
10289,Right,accept
10290,What was the first TV set to include a remote control ?,wh-question
10291,Yeah,accept
10292,Uh huh,accept
10293,Yeah,accept
10294,Who is the head of the World Bank ?,wh-question
10295,How long does it keep,wh-question
10296,Yeah,accept
10297,What colors is magenta made of ?,wh-question
10298,Oh yeah,accept
10299,uh huh,accept
10300,Yeah,accept
10301,Oh okay,accept
10302,Uh huh,accept
10303,yeah,accept
10304,Uh huh,accept
10305,Laughter No,reject
10306,Uh huh,accept
10307,Uh huh,accept
10308,Well yeah,accept
10309,Uh huh,accept
10310,yeah,accept
10311,Uh huh,accept
10312,uh huh,accept
10313,Yes,accept
10314,Yeah,accept
10315,What are Cushman and Wakefield known for ?,wh-question
10316,Uh huh,accept
10317,Yeah,accept
10318,What kind of substance is dextropropoxyphen napsylate ?,wh-question
10319,Uh huh,accept
10320,Uh huh,accept
10321,Yeah,accept
10322,Uh huh,accept
10323,Uh huh,accept
10324,Yeah,accept
10325,Yeah,accept
10326,uh huh,accept
10327,Uh huh,accept
10328,uh Becky,farewell
10329,When was Microsoft established ?,wh-question
10330,Uh huh,accept
10331,Yes breathing,accept
10332,Open the door for me.,imperative
10333,What are the 28 tenses in the English language ?,wh-question
10334,Sure,accept
10335,Who portrayed The Cowardly Lion in The Wizard of Oz ?,wh-question
10336,Uh huh,accept
10337,Yeah,accept
10338,Right,accept
10339,Right,accept
10340,Oh yeah,accept
10341,Yeah,accept
10342,Yeah,accept
10343,Yeah,accept
10344,What is the origin of the peace symbol ?,wh-question
10345,Uh huh,accept
10346,I m doing fine,greeting
10347,Yeah,accept
10348,What is the origin of U.S. Army sergeant 's stripes ?,wh-question
10349,Uh huh,accept
10350,yeah,accept
10351,Yeah,accept
10352,Like what what kind of oldies,wh-question
10353,Yeah breathing,accept
10354,What caused Harry Houdini 's death ?,wh-question
10355,Right,accept
10356,Uh huh,accept
10357,Oh,accept
10358,Yeah,accept
10359,it s good talking to you,farewell
10360,What type of job do you have,wh-question
10361,Oh,accept
10362,Yeah,accept
10363,Oh laughter yeah sniffing,accept
10364,Uh huh,accept
10365,Fine,greeting
10366,Uh huh,accept
10367,Uh huh,accept
10368,Okay,accept
10369,Right,accept
10370,Oh yeah,accept
10371,Oh,accept
10372,Excuse me Uh yeah,accept
10373,Uh huh,accept
10374,What is the Woodward book you are referring to,wh-question
10375,Uh huh,accept
10376,Uh huh,accept
10377,Laughter Yeah,accept
10378,Yeah,accept
10379,Uh huh,accept
10380,All right uh,accept
10381,Yeah,accept
10382,Right,accept
10383,Huh uh,accept
10384,Yeah breathing,accept
10385,Uh huh,accept
10386,Oh yes,accept
10387,Right,accept
10388,Yeah,accept
10389,Uh huh,accept
10390,Uh huh,accept
10391,Uh huh,accept
10392,Who was the star of the 1965 Broadway hit Golden Boy ?,wh-question
10393,Uh huh,accept
10394,Uh huh,accept
10395,Uh huh,accept
10396,no,reject
10397,Uh huh,accept
10398,Uh huh,accept
10399,Uh huh,accept
10400,Right,accept
10401,What university football team did O.J. Simpson take to the Rose Bowl ?,wh-question
10402,Uh huh,accept
10403,Yeah,accept
10404,Yeah,accept
10405,Uh huh,accept
10406,Yeah,accept
10407,Yeah,accept
10408,Um,accept
10409,it was good talking to you,farewell
10410,Oh,accept
10411,Uh huh,accept
10412,Uh huh,accept
10413,Yeah,accept
10414,Uh huh,accept
10415,and where are you from where are you calling from,wh-question
10416,Uh huh,accept
10417,Uh huh,accept
10418,Yeah,accept
10419,Yeah,accept
10420,Yeah,accept
10421,Oh,accept
10422,And actually that one the the the taxes on gasoline don t don t bug me as much as uh uh what are we eight and a quarter percent sales tax,wh-question
10423,Yeah,accept
10424,Uh huh,accept
10425,Yeah,accept
10426,Sure,accept
10427,Uh huh,accept
10428,Laughter Yeah,accept
10429,Yeah,accept
10430,yeah,accept
10431,"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",wh-question
10432,"Where can I find a tape or book to help me say , write and understand Japanese ?",wh-question
10433,Right,accept
10434,Right,accept
10435,Where can I find the status of my tax return ?,wh-question
10436,Yeah,accept
10437,Okay,accept
10438,Right,accept
10439,Uh huh,accept
10440,Uh huh,accept
10441,Yeah,accept
10442,yeah,accept
10443,Uh huh,accept
10444,Yeah,accept
10445,Okay,accept
10446,Yeah,accept
10447,Uh huh,accept
10448,Uh huh,accept
10449,Uh huh,accept
10450,Right,accept
10451,Huh uh,accept
10452,Uh huh,accept
10453,Ooh,accept
10454,Yeah,accept
10455,Uh huh,accept
10456,What geological time do we live in ?,wh-question
10457,Yeah,accept
10458,Uh huh,accept
10459,Uh huh,accept
10460,Yeah,accept
10461,Uh huh,accept
10462,Yeah,accept
10463,Uh huh,accept
10464,Uh huh,accept
10465,Yeah,accept
10466,Yes,accept
10467,Uh huh,accept
10468,Right,accept
10469,Oh,accept
10470,Uh huh,accept
10471,Oh uh huh,accept
10472,Uh huh,accept
10473,Yeah,farewell
10474,Uh huh,accept
10475,Uh huh,accept
10476,Who do Herb and Tootsie live next door to ?,wh-question
10477,Uh huh,accept
10478,Yeah,accept
10479,Uh huh,accept
10480,Uh huh,accept
10481,Uh huh,accept
10482,Yeah,accept
10483,What does NASDAQ stand for ?,wh-question
10484,What did the crocodile swallow in Peter Pan ?,wh-question
10485,Huh,accept
10486,Uh huh,accept
10487,Who are they going to blow it to,wh-question
10488,Uh huh,accept
10489,Yeah Um noise,accept
10490,Uh huh,accept
10491,Uh huh,accept
10492,Uh huh,accept
10493,Yeah,accept
10494,Right,accept
10495,Uh huh,accept
10496,Yeah,accept
10497,Uh huh,accept
10498,Yeah,accept
10499,"Who says , `` If you don 't look good , we don 't look good '' ?",wh-question
10500,Yeah,accept
10501,Uh huh,accept
10502,yeah,accept
10503,Uh huh,accept
10504,Oh yeah,accept
10505,All right,accept
10506,yeah,accept
10507,Uh huh,accept
10508,Yeah,accept
10509,Uh huh,accept
10510,Uh huh,accept
10511,Uh huh,accept
10512,Uh huh,accept
10513,Uh huh,accept
10514,Yeah,accept
10515,Uh huh,accept
10516,So how do you know this much about um stealing cars,wh-question
10517,Yeah,accept
10518,Um yes and no,accept
10519,Yeah,accept
10520,Uh huh,accept
10521,Bye bye,farewell
10522,Right throat_clearing,accept
10523,Uh huh,accept
10524,Yeah,accept
10525,Uh huh,accept
10526,Right,accept
10527,"What U.S. Congressman said : `` Keep the faith , baby '' .",wh-question
10528,Yeah,accept
10529,Right,accept
10530,Yeah,accept
10531,How do I start a web based business ?,wh-question
10532,Yeah,accept
10533,Yeah,accept
10534,Uh huh,accept
10535,How you doing,greeting
10536,Yeah,accept
10537,Yeah,accept
10538,yes,accept
10539,Yeah,accept
10540,Yeah,accept
10541,oh yeah,accept
10542,Right,accept
10543,Sure,accept
10544,Uh huh,accept
10545,Right,accept
10546,Laughter Yeah,accept
10547,Uh huh,accept
10548,Right,accept
10549,No,accept
10550,yes,accept
10551,Yeah,accept
10552,Uh huh,accept
